连续代码,bars_count,latest_bar_time,latest_price,latest_three_match,match_count,last_match_time,A_time,A_open,A_high,A_low,A_close,B_time,B_open,B_high,B_low,B_close,C_time,C_open,C_high,C_low,C_close,交易所,品种,代码,scan_time
AG0,1023,2026-03-23 00:00:00,17162.0,False,0,,2026-03-21 02:29:00,17160.0,17160.0,17141.0,17149.0,2026-03-21 02:30:00,17150.0,17155.0,17138.0,17139.0,2026-03-23 00:00:00,17164.0,17194.0,17155.0,17162.0,上期所,白银,AG,2026-03-21 19:00:50
AL0,1023,2026-03-23 00:00:00,23540.0,False,0,,2026-03-21 00:59:00,23535.0,23550.0,23530.0,23550.0,2026-03-21 01:00:00,23545.0,23545.0,23520.0,23530.0,2026-03-23 00:00:00,23540.0,23545.0,23535.0,23540.0,上期所,铝,AL,2026-03-21 19:00:50
AU0,1023,2026-03-23 00:00:00,1020.24,False,0,,2026-03-21 02:29:00,1020.28,1020.78,1019.32,1019.56,2026-03-21 02:30:00,1019.46,1019.8,1018.74,1019.38,2026-03-23 00:00:00,1019.86,1020.98,1019.7,1020.24,上期所,黄金,AU,2026-03-21 19:00:50
BU0,1023,2026-03-20 23:00:00,4547.0,False,0,,2026-03-20 22:58:00,4541.0,4545.0,4539.0,4540.0,2026-03-20 22:59:00,4540.0,4542.0,4539.0,4541.0,2026-03-20 23:00:00,4541.0,4550.0,4537.0,4547.0,上期所,石油沥青,BU,2026-03-21 19:00:50
CU0,1023,2026-03-23 00:00:00,93030.0,False,0,,2026-03-21 00:59:00,93210.0,93300.0,93210.0,93250.0,2026-03-21 01:00:00,93260.0,93260.0,93180.0,93210.0,2026-03-23 00:00:00,93050.0,93080.0,93020.0,93030.0,上期所,铜,CU,2026-03-21 19:00:50
HC0,1023,2026-03-20 23:00:00,3315.0,False,0,,2026-03-20 22:58:00,3316.0,3316.0,3314.0,3315.0,2026-03-20 22:59:00,3315.0,3315.0,3314.0,3314.0,2026-03-20 23:00:00,3314.0,3315.0,3313.0,3315.0,上期所,热轧卷板,HC,2026-03-21 19:00:50
NI0,1023,2026-03-23 00:00:00,133960.0,False,0,,2026-03-21 00:59:00,134380.0,134480.0,134380.0,134420.0,2026-03-21 01:00:00,134440.0,134480.0,134290.0,134300.0,2026-03-23 00:00:00,134070.0,134070.0,133960.0,133960.0,上期所,镍,NI,2026-03-21 19:00:50
RB0,1023,2026-03-20 23:00:00,3148.0,False,0,,2026-03-20 22:58:00,3150.0,3150.0,3147.0,3147.0,2026-03-20 22:59:00,3148.0,3148.0,3147.0,3147.0,2026-03-20 23:00:00,3147.0,3149.0,3147.0,3148.0,上期所,螺纹钢,RB,2026-03-21 19:00:50
RU0,1023,2026-03-20 23:00:00,16190.0,False,0,,2026-03-20 22:58:00,16195.0,16200.0,16185.0,16190.0,2026-03-20 22:59:00,16185.0,16190.0,16185.0,16185.0,2026-03-20 23:00:00,16185.0,16195.0,16180.0,16190.0,上期所,天然橡胶,RU,2026-03-21 19:00:50
A0,1023,2026-03-20 23:00:00,4778.0,False,0,,2026-03-20 22:58:00,4787.0,4788.0,4786.0,4787.0,2026-03-20 22:59:00,4788.0,4788.0,4784.0,4784.0,2026-03-20 23:00:00,4784.0,4786.0,4777.0,4778.0,大商所,黄大豆1号,A,2026-03-21 19:00:50
C0,1023,2026-03-20 23:00:00,2406.0,False,0,,2026-03-20 22:58:00,2405.0,2405.0,2404.0,2405.0,2026-03-20 22:59:00,2404.0,2406.0,2404.0,2404.0,2026-03-20 23:00:00,2405.0,2407.0,2404.0,2406.0,大商所,玉米,C,2026-03-21 19:00:50
I0,1023,2026-03-20 23:00:00,817.0,False,0,,2026-03-20 22:58:00,818.0,818.0,816.5,817.0,2026-03-20 22:59:00,817.0,817.5,817.0,817.0,2026-03-20 23:00:00,817.0,817.5,816.5,817.0,大商所,铁矿石,I,2026-03-21 19:00:50
J0,1023,2026-03-20 23:00:00,1812.5,False,1,2026-03-18 22:21:00,2026-03-20 22:58:00,1820.0,1821.0,1813.5,1814.5,2026-03-20 22:59:00,1814.5,1814.5,1813.5,1814.5,2026-03-20 23:00:00,1814.5,1817.0,1810.0,1812.5,大商所,焦炭,J,2026-03-21 19:00:50
JM0,1023,2026-03-20 23:00:00,1264.0,False,0,,2026-03-20 22:58:00,1269.5,1271.5,1268.0,1270.0,2026-03-20 22:59:00,1270.0,1271.0,1267.0,1270.0,2026-03-20 23:00:00,1271.0,1271.0,1260.5,1264.0,大商所,焦煤,JM,2026-03-21 19:00:50
L0,1023,2026-03-20 23:00:00,9185.0,False,0,,2026-03-20 22:58:00,9189.0,9194.0,9165.0,9179.0,2026-03-20 22:59:00,9178.0,9185.0,9176.0,9181.0,2026-03-20 23:00:00,9181.0,9185.0,9178.0,9185.0,大商所,聚乙烯,L,2026-03-21 19:00:50
